127.0.0.1 - - [23/Dec/2023:12:45:50 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:45:51 +0530] "GET /Job-Portal/ HTTP/1.1" 200 3938
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:45:51 +0530] "GET /Job-Portal/all_component/style.css HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:45:51 +0530] "GET /Job-Portal/img/wall.jpg HTTP/1.1" 200 485195
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:45:52 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:46:43 +0530] "GET /Job-Portal/login.jsp HTTP/1.1" 200 7310
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:46:46 +0530] "GET /Job-Portal/signup.jsp HTTP/1.1" 200 7307
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:47:25 +0530] "GET /Job-Portal/login.jsp HTTP/1.1" 200 7310
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:50:37 +0530] "POST /Job-Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:50:37 +0530] "GET /Job-Portal/home.jsp HTTP/1.1" 200 7504
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:51:17 +0530] "GET /Job-Portal/edit_profile.jsp HTTP/1.1" 200 5184
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:56:30 +0530] "GET /Job-Portal/home.jsp HTTP/1.1" 200 7504
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:56:33 +0530] "GET /Job-Portal/edit_profile.jsp HTTP/1.1" 200 5184
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:56:34 +0530] "POST /Job-Portal/update_profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:56:34 +0530] "GET /Job-Portal/home.jsp HTTP/1.1" 200 7591
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:57:43 +0530] "GET /Job-Portal/home.jsp HTTP/1.1" 200 7504
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:58:02 +0530] "GET /Job-Portal/home.jsp HTTP/1.1" 200 7500
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:58:39 +0530] "GET /Job-Portal/edit_profile.jsp HTTP/1.1" 200 5180
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:58:49 +0530] "POST /Job-Portal/update_profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:58:49 +0530] "GET /Job-Portal/home.jsp HTTP/1.1" 200 7587
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:59:02 +0530] "GET /Job-Portal/index.jsp HTTP/1.1" 200 4015
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:59:34 +0530] "GET /Job-Portal/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:59:34 +0530] "GET /Job-Portal/login.jsp HTTP/1.1" 200 7399
